0x2514ABF8, 37404069177046944, 88891469, 88891486, 17, 1920x1080 
0x2514ABF8, 37404069177534024, 88891517, 88891532, 15, 1920x1080 
0x2514ABF8, 37404069178053704, 88891560, 88891574, 14, 1920x1080 
0x2514ABF8, 37404069178913776, 88891674, 88891712, 38, 640x360 
0x2514ABF8, 37404069179340376, 88891712, 88891716, 4, 640x360 
0x2514ABF8, 37404069179774240, 88891741, 88891745, 4, 640x360 
0x2514ABF8, 37404069180226480, 88891791, 88891800, 9, 640x360 
0x2514ABF8, 37404069180688752, 88891829, 88891832, 3, 640x360 
0x2514ABF8, 37404069181105232, 88891869, 88891882, 13, 640x360 
0x2514ABF8, 37404069181512704, 88891906, 88891910, 4, 640x360 
0x2514ABF8, 37404069181894640, 88891953, 88891962, 9, 640x360 
0x2514ABF8, 37404069182334480, 88891992, 88891994, 2, 640x360 
0x2514ABF8, 37404069182722384, 88892036, 88892045, 9, 640x360 
0x2514ABF8, 37404069183158952, 88892074, 88892077, 3, 640x360 
0x2514ABF8, 37404069183540312, 88892118, 88892129, 11, 640x360 
0x2514ABF8, 37404069184002696, 88892157, 88892161, 4, 640x360 
0x2514ABF8, 37404069184396880, 88892202, 88892212, 10, 640x360 
0x2514ABF8, 37404069184831328, 88892241, 88892244, 3, 640x360 
0x2514ABF8, 37404069185222672, 88892287, 88892296, 9, 640x360 
0x2514ABF8, 37404069185668664, 88892320, 88892326, 6, 640x360 
0x2514ABF8, 37404069186048384, 88892366, 88892378, 12, 640x360 
0x2514ABF8, 37404069186500376, 88892404, 88892407, 3, 640x360 
0x2514ABF8, 37404069186872720, 88892450, 88892461, 11, 640x360 
0x2514ABF8, 37404069187325704, 88892488, 88892492, 4, 640x360 
0x2514ABF8, 37404069187717784, 88892534, 88892545, 11, 640x360 
0x2514ABF8, 37404069188154792, 88892574, 88892577, 3, 640x360 
0x2514ABF8, 37404069188544928, 88892618, 88892628, 10, 640x360 
0x2514ABF8, 37404069188991440, 88892656, 88892660, 4, 640x360 
0x2514ABF8, 37404069189378040, 88892702, 88892711, 9, 640x360 
0x2514ABF8, 37404069189836456, 88892737, 88892748, 11, 640x360 
0x2514ABF8, 37404069190192152, 88892771, 88892776, 5, 640x360 
0x2514ABF8, 37404069190994304, 88892849, 88892864, 15, 1920x1080 
0x2514ABF8, 37404069191373376, 88892897, 88892919, 22, 1920x1080 
0x2514ABF8, 37404069191833456, 88892930, 88892943, 13, 1920x1080 
0x2514ABF8, 37404069192194688, 88892974, 88892988, 14, 1920x1080 
0x2514ABF8, 37404069192662544, 88893020, 88893035, 15, 1920x1080 
0x2514ABF8, 37404069193064624, 88893060, 88893074, 14, 1920x1080 
0x2514ABF8, 37404069193517288, 88893099, 88893115, 16, 1920x1080 
0x2514ABF8, 37404069193884808, 88893144, 88893167, 23, 1920x1080 
0x2514ABF8, 37404069194341264, 88893179, 88893192, 13, 1920x1080 
0x2514ABF8, 37404069194700648, 88893224, 88893238, 14, 1920x1080 
0x2514ABF8, 37404069195160112, 88893264, 88893280, 16, 1920x1080 
0x2514ABF8, 37404069195537792, 88893308, 88893322, 14, 1920x1080 
0x2514ABF8, 37404069195996888, 88893353, 88893368, 15, 1920x1080 
0x2514ABF8, 37404069196406352, 88893398, 88893420, 22, 1920x1080 
0x2514ABF8, 37404069196844992, 88893430, 88893443, 13, 1920x1080 
0x2514ABF8, 37404069197210144, 88893475, 88893489, 14, 1920x1080 
0x2514ABF8, 37404069197655272, 88893519, 88893534, 15, 1920x1080 
0x2514ABF8, 37404069198060200, 88893558, 88893573, 15, 1920x1080 
0x2514ABF8, 37404069198502760, 88893603, 88893618, 15, 1920x1080 
0x2514ABF8, 37404069198910480, 88893648, 88893671, 23, 1920x1080 
0x2514ABF8, 37404069199345208, 88893681, 88893695, 14, 1920x1080 
0x2514ABF8, 37404069199711408, 88893725, 88893740, 15, 1920x1080 
0x2514ABF8, 37404069200164672, 88893763, 88893776, 13, 1920x1080 
0x2514ABF8, 37404069200551248, 88893813, 88893837, 24, 1920x1080 
0x2514ABF8, 37404069201006592, 88893851, 88893863, 12, 1920x1080 
0x2514ABF8, 37404069201420176, 88893896, 88893914, 18, 1920x1080 
0x2514ABF8, 37404069201833176, 88893928, 88893952, 24, 1920x1080 
0x2514ABF8, 37404069202178232, 88893966, 88893980, 14, 1920x1080 
0x2514ABF8, 37404069202562544, 88894012, 88894034, 22, 1920x1080 
0x2514ABF8, 37404069202997528, 88894050, 88894067, 17, 1920x1080 
0x2514ABF8, 37404069203389192, 88894096, 88894117, 21, 1920x1080 
0x2514ABF8, 37404069203837680, 88894136, 88894151, 15, 1920x1080 
0x2514ABF8, 37404069204228520, 88894180, 88894199, 19, 1920x1080 
0x2514ABF8, 37404069204679024, 88894212, 88894227, 15, 1920x1080 
0x2514ABF8, 37404069205037344, 88894257, 88894272, 15, 1920x1080 
0x2514ABF8, 37404069205496560, 88894296, 88894310, 14, 1920x1080 
0x2514ABF8, 37404069205878128, 88894341, 88894358, 17, 1920x1080 
0x2514ABF8, 37404069206319824, 88894380, 88894393, 13, 1920x1080 
0x2514ABF8, 37404069206718552, 88894424, 88894438, 14, 1920x1080 
0x2514ABF8, 37404069207157712, 88894468, 88894484, 16, 1920x1080 
0x2514ABF8, 37404069207557984, 88894514, 88894535, 21, 1920x1080 
0x2514ABF8, 37404069208012816, 88894548, 88894564, 16, 1920x1080 
0x2514ABF8, 37404069208364128, 88894594, 88894616, 22, 1920x1080 
0x2514ABF8, 37404069208828216, 88894632, 88894649, 17, 1920x1080 
